eta,max_depth,colsample_bytree,num_round,early_stopping_rounds,last_score,time
0.032259261157142186,7,0.38768713251820197,41,10,0.4712803333333333,0
0.08854406993724008,8,0.3495226629943241,40,6,0.38848533333333335,0
0.028535390628258456,10,0.23734075422031747,45,5,0.49270533333333333,0
0.08236117211474192,10,0.5967335020401552,185,13,0.3194836666666667,0
0.017880650840719353,2,0.6994151934721969,70,14,0.523017,0
0.025179000238448764,5,0.9155959162290815,160,5,0.3983493333333333,0
0.005373109443454935,10,0.5849750290034788,48,14,0.6017686666666666,0
0.09026001648031795,4,0.3501628696669198,32,8,0.434495,0
0.04840935580201901,7,0.8860906476162865,158,12,0.359127,0
0.023181456011527844,2,0.12875595504444257,161,13,0.4931223333333334,0
0.07141396296158219,9,0.6973048512934769,200,19,0.327894,0
0.06891754822827022,9,0.7239426513092462,197,20,0.3298573333333333,0
0.07069456281644715,9,0.537680946822156,200,19,0.327671,0
0.07099339270339494,8,0.5007378224428929,119,17,0.34624799999999994,0
0.0983194426096196,10,0.563587982933293,122,16,0.32429900000000006,0
0.09817577047801644,10,0.6203502116749096,115,16,0.3262,0
0.0861228175597043,5,0.795927841904715,92,16,0.373726,0
0.05728750000934184,7,0.4586097034103173,130,11,0.3572403333333333,0
0.05104234958423231,8,0.806640888110114,90,9,0.3651993333333334,0
0.09901351299066008,10,0.9858744809515257,12,17,0.43271733333333334,0
0.08136522725713424,6,0.4196763202819077,141,15,0.35622333333333334,0
0.09916984044633546,10,0.5917484801084988,109,17,0.326011,0
0.09967778583387622,9,0.6211753943186306,173,18,0.3235173333333333,0
0.07955067155854428,9,0.6451964888343208,177,18,0.3276156666666667,0
0.0921279536209773,9,0.5086126936501061,176,13,0.324249,0
0.0792204343503911,8,0.5082854645841366,179,12,0.333533,0
0.05988174034128274,9,0.2865904625879556,180,14,0.33651133333333333,0
0.09089036331926661,6,0.6545825524414348,143,11,0.352257,0
0.04039493839425272,8,0.7651358605106343,170,7,0.3545066666666667,0
0.08309627174057743,7,0.45588980456829636,187,10,0.33980499999999997,0
0.09216008595139313,9,0.3907311520789054,147,10,0.3277486666666667,0
0.09339289565139713,10,0.5493268104707255,132,15,0.324151,0
0.09462228403494959,10,0.5136508256508369,154,13,0.3205803333333333,0
0.07777195809194935,10,0.6333260725093732,149,15,0.32617233333333334,0
0.08680454986767304,10,0.438530166577718,134,15,0.32408,0
0.08676141646054297,10,0.2731627880929983,166,13,0.3241146666666667,0
0.06322795680084481,8,0.45054194071349213,188,14,0.33752000000000004,0
0.07534313548610706,9,0.3090784326440714,154,11,0.33304833333333334,0
0.08575064373560454,10,0.1813143746991162,133,18,0.34787433333333334,0
0.010079209179908025,4,0.36033869224800197,96,12,0.5246023333333333,0
0.09400590631756815,10,0.4149612918517027,71,15,0.33877466666666667,0
0.08688628411504372,10,0.23485682186260443,164,13,0.32868766666666666,0
0.08577726368579713,9,0.30125953119104354,166,13,0.3291523333333333,0
0.03460688497351522,9,0.7198327395625782,190,14,0.34750699999999995,0
0.07396449714105256,10,0.6758368801335475,156,20,0.32565333333333335,0
0.06601343382002367,10,0.5831310087866461,170,12,0.3258043333333333,0
0.09543280425797863,3,0.15198183046471997,138,14,0.396177,0
0.08861088001304367,8,0.19964000164150814,152,16,0.348341,0
0.08261171662582478,9,0.4849207301983853,193,19,0.32535200000000003,0
0.08969617723933937,10,0.5365589890372432,127,9,0.32508000000000004,0
