eta,max_depth,colsample_bytree,num_round,last_score,time
0.2791194101916626,9,0.23680021882413085,269,0.317783,0
0.4383212049760924,16,0.41238265914415495,210,0.32257600000000003,0
0.17664064563150955,12,0.31286344311292724,315,0.3098783333333333,0
0.24040897932171607,14,0.38127974621265426,478,0.31231233333333336,0
0.22568142060956942,17,0.5136286132489503,457,0.3095626666666667,0
0.24750388456875805,20,0.27412831687472156,432,0.3153276666666667,0
0.41539402768825917,9,0.4876783570650727,334,0.32519566666666666,0
0.22786986119453612,12,0.23213015069514653,279,0.31332033333333337,0
0.46765505650792805,18,0.40456639419168505,215,0.32520566666666667,0
0.16642162810463276,12,0.3476476878245729,356,0.30957133333333337,0
0.0889430059654556,17,0.5736667394677207,411,0.30365666666666663,1
0.08735131196441939,17,0.5963535882003518,416,0.3040643333333333,1
0.083557565168393,19,0.589473707389127,395,0.30382033333333336,1
0.08241111099354183,20,0.5944468022873826,382,0.3030296666666667,1
0.37559122654652366,20,0.5107485449494256,375,0.318615,0
0.14837441663359385,15,0.5469701115822195,442,0.30636766666666665,0
0.3427960024305667,18,0.4693164128927,489,0.31604933333333335,0
0.12839149712956507,19,0.5511884187790367,389,0.3053333333333333,0
0.11402422759705012,14,0.4539991509687903,303,0.3055736666666667,0
0.18921021061850746,16,0.542718182717867,356,0.3081183333333333,0
0.34129024617605846,20,0.4413374343068335,401,0.31795066666666666,0
0.08235522689578378,19,0.585329310009657,405,0.3030043333333333,1
0.1173113443285095,18,0.5998708018381632,424,0.3051663333333334,0
0.08109321670357478,19,0.5647030418743862,463,0.30253033333333335,1
0.1380811610258807,19,0.5227562184937795,466,0.305236,0
0.19659370758070016,20,0.5723122993239949,491,0.30809000000000003,0
0.11062605700034399,19,0.4926736600221484,449,0.304714,0
0.08306778416618502,18,0.5496745199005005,353,0.30285133333333336,1
0.1548494614001636,16,0.5535869567932898,362,0.3070686666666667,0
0.3012706203879068,18,0.20369412801340994,243,0.32283366666666663,0
0.2760900729575416,15,0.5289628363313736,175,0.3115213333333333,0
0.08162028312664567,19,0.5768881399743726,329,0.30313066666666666,1
0.11108578675516469,20,0.5646941600624488,377,0.304471,0
0.1415707566657577,18,0.4938027316773348,302,0.3059263333333333,0
0.19912772701428705,19,0.5328076652979576,353,0.3082223333333333,0
0.10308917003755669,17,0.5686487861649169,384,0.30487366666666665,0
0.16391518334499494,20,0.37190392800987215,426,0.308279,0
0.1317407644384964,18,0.4376526037802721,468,0.305544,0
0.10041655818399856,17,0.3031077219955055,316,0.30501866666666666,1
0.4950474472594182,9,0.4989843125517122,500,0.3271483333333333,0
0.17819803783636645,11,0.5974077805374799,442,0.310159,0
0.0809626951201802,19,0.5797149082546789,326,0.303468,1
0.0991588228485229,19,0.5587992915027598,340,0.303367,0
0.12510725645777443,20,0.582060442128975,270,0.30478933333333336,0
0.08458582970908145,16,0.5344554086555767,294,0.30371333333333334,1
0.21259640212377523,19,0.5164230314705509,406,0.3079926666666667,0
0.14687914726152929,18,0.5822723680344851,349,0.30677933333333335,0
0.08089278139848817,20,0.5609915489424357,373,0.30270766666666665,1
0.42634762787324315,20,0.4816031483001121,363,0.3242773333333333,0
0.25412603837446124,11,0.5515545236179026,411,0.31501233333333334,0
